bathrooms,bedrooms,area,zipcode,bathroom_image,kitchen_image,bedroom_image,frontal_image,price
5,5,3816,92880,285_bathroom.jpg,285_kitchen.jpg,285_bedroom.jpg,285_frontal.jpg,589900
2,2,1440,92276,348_bathroom.jpg,348_kitchen.jpg,348_bedroom.jpg,348_frontal.jpg,106000
3,4,1625,93510,441_bathroom.jpg,441_kitchen.jpg,441_bedroom.jpg,441_frontal.jpg,639000
3,4,2454,93510,422_bathroom.jpg,422_kitchen.jpg,422_bedroom.jpg,422_frontal.jpg,5858000
4.5,4,4038,92677,150_bathroom.jpg,150_kitchen.jpg,150_bedroom.jpg,150_frontal.jpg,1795000
2,3,1490,94501,193_bathroom.jpg,193_kitchen.jpg,193_bedroom.jpg,193_frontal.jpg,949000
3,4,1606,92802,511_bathroom.jpg,511_kitchen.jpg,511_bedroom.jpg,511_frontal.jpg,850000
2,2,960,92276,366_bathroom.jpg,366_kitchen.jpg,366_bedroom.jpg,366_frontal.jpg,79900
3.5,4,9536,94531,532_bathroom.jpg,532_kitchen.jpg,532_bedroom.jpg,532_frontal.jpg,460000
3,5,3200,92880,239_bathroom.jpg,239_kitchen.jpg,239_bedroom.jpg,239_frontal.jpg,568000
2,3,1440,92276,408_bathroom.jpg,408_kitchen.jpg,408_bedroom.jpg,408_frontal.jpg,169900
4.5,4,3740,62249,70_bathroom.jpg,70_kitchen.jpg,70_bedroom.jpg,70_frontal.jpg,339900
2,3,1397,92276,377_bathroom.jpg,377_kitchen.jpg,377_bedroom.jpg,377_frontal.jpg,199000
2,3,1236,93510,319_bathroom.jpg,319_kitchen.jpg,319_bedroom.jpg,319_frontal.jpg,221000
3.5,5,2879,94501,185_bathroom.jpg,185_kitchen.jpg,185_bedroom.jpg,185_frontal.jpg,1327685
2,3,1469,93446,466_bathroom.jpg,466_kitchen.jpg,466_bedroom.jpg,466_frontal.jpg,299900
2,4,1881,96019,154_bathroom.jpg,154_kitchen.jpg,154_bedroom.jpg,154_frontal.jpg,245000
2,3,2061,93510,447_bathroom.jpg,447_kitchen.jpg,447_bedroom.jpg,447_frontal.jpg,529000
2,3,1475,93111,226_bathroom.jpg,226_kitchen.jpg,226_bedroom.jpg,226_frontal.jpg,769000
4.5,4,3885,92021,125_bathroom.jpg,125_kitchen.jpg,125_bedroom.jpg,125_frontal.jpg,825500
2,2,1600,92276,374_bathroom.jpg,374_kitchen.jpg,374_bedroom.jpg,374_frontal.jpg,147000
2,2,2024,92276,375_bathroom.jpg,375_kitchen.jpg,375_bedroom.jpg,375_frontal.jpg,214900
2,3,2108,93446,491_bathroom.jpg,491_kitchen.jpg,491_bedroom.jpg,491_frontal.jpg,439000
2,3,1372,96019,156_bathroom.jpg,156_kitchen.jpg,156_bedroom.jpg,156_frontal.jpg,178000
4,4,3254,93510,424_bathroom.jpg,424_kitchen.jpg,424_bedroom.jpg,424_frontal.jpg,674900
2,2,1930,92276,355_bathroom.jpg,355_kitchen.jpg,355_bedroom.jpg,355_frontal.jpg,164900
1,2,1100,92276,290_bathroom.jpg,290_kitchen.jpg,290_bedroom.jpg,290_frontal.jpg,36000
3.5,4,2090,93446,471_bathroom.jpg,471_kitchen.jpg,471_bedroom.jpg,471_frontal.jpg,499000
1.5,3,1080,93446,463_bathroom.jpg,463_kitchen.jpg,463_bedroom.jpg,463_frontal.jpg,325000
2,2,1486,92276,409_bathroom.jpg,409_kitchen.jpg,409_bedroom.jpg,409_frontal.jpg,154000
2,2,1440,92276,421_bathroom.jpg,421_kitchen.jpg,421_bedroom.jpg,421_frontal.jpg,110000
3.5,3,4143,85266,20_bathroom.jpg,20_kitchen.jpg,20_bedroom.jpg,20_frontal.jpg,925000
2,2,1440,92276,363_bathroom.jpg,363_kitchen.jpg,363_bedroom.jpg,363_frontal.jpg,77000
3,4,2174,81524,57_bathroom.jpg,57_kitchen.jpg,57_bedroom.jpg,57_frontal.jpg,439900
2,2,1344,92276,391_bathroom.jpg,391_kitchen.jpg,391_bedroom.jpg,391_frontal.jpg,129900
4,6,4311,92880,266_bathroom.jpg,266_kitchen.jpg,266_bedroom.jpg,266_frontal.jpg,695000
2,3,1200,92276,362_bathroom.jpg,362_kitchen.jpg,362_bedroom.jpg,362_frontal.jpg,225000
2.5,3,1554,92802,512_bathroom.jpg,512_kitchen.jpg,512_bedroom.jpg,512_frontal.jpg,409900
2,2,1152,92276,365_bathroom.jpg,365_kitchen.jpg,365_bedroom.jpg,365_frontal.jpg,96500
4,4,4954,85262,26_bathroom.jpg,26_kitchen.jpg,26_bedroom.jpg,26_frontal.jpg,1290000
3,3,1905,92880,275_bathroom.jpg,275_kitchen.jpg,275_bedroom.jpg,275_frontal.jpg,448000
2,3,2153,98021,43_bathroom.jpg,43_kitchen.jpg,43_bedroom.jpg,43_frontal.jpg,435000
2,2,1152,92276,333_bathroom.jpg,333_kitchen.jpg,333_bedroom.jpg,333_frontal.jpg,138500
3,4,2870,92880,305_bathroom.jpg,305_kitchen.jpg,305_bedroom.jpg,305_frontal.jpg,489000
2,3,1368,92276,294_bathroom.jpg,294_kitchen.jpg,294_bedroom.jpg,294_frontal.jpg,193000
5,5,4014,92880,302_bathroom.jpg,302_kitchen.jpg,302_bedroom.jpg,302_frontal.jpg,542000
2.5,4,6000,92677,127_bathroom.jpg,127_kitchen.jpg,127_bedroom.jpg,127_frontal.jpg,869000
3,5,2533,94565,272_bathroom.jpg,272_kitchen.jpg,272_bedroom.jpg,272_frontal.jpg,540000
2,4,1866,92276,357_bathroom.jpg,357_kitchen.jpg,357_bedroom.jpg,357_frontal.jpg,256000
3.5,4,3428,85255,32_bathroom.jpg,32_kitchen.jpg,32_bedroom.jpg,32_frontal.jpg,1039000
3,4,1613,91901,114_bathroom.jpg,114_kitchen.jpg,114_bedroom.jpg,114_frontal.jpg,749900
2,2,1257,93446,496_bathroom.jpg,496_kitchen.jpg,496_bedroom.jpg,496_frontal.jpg,380000
2.5,3,2644,92276,372_bathroom.jpg,372_kitchen.jpg,372_bedroom.jpg,372_frontal.jpg,379500
2,3,2198,93446,483_bathroom.jpg,483_kitchen.jpg,483_bedroom.jpg,483_frontal.jpg,625000
2,3,1508,81524,58_bathroom.jpg,58_kitchen.jpg,58_bedroom.jpg,58_frontal.jpg,450000
3,5,3188,92880,228_bathroom.jpg,228_kitchen.jpg,228_bedroom.jpg,228_frontal.jpg,567500
4.5,4,4031,85262,25_bathroom.jpg,25_kitchen.jpg,25_bedroom.jpg,25_frontal.jpg,1345000
4,3,2748,85255,18_bathroom.jpg,18_kitchen.jpg,18_bedroom.jpg,18_frontal.jpg,725000
3,5,3122,94501,211_bathroom.jpg,211_kitchen.jpg,211_bedroom.jpg,211_frontal.jpg,899000
2.5,3,2750,62234,67_bathroom.jpg,67_kitchen.jpg,67_bedroom.jpg,67_frontal.jpg,219500
2,3,1796,93111,223_bathroom.jpg,223_kitchen.jpg,223_bedroom.jpg,223_frontal.jpg,897000
2,3,1376,92276,407_bathroom.jpg,407_kitchen.jpg,407_bedroom.jpg,407_frontal.jpg,174900
3,4,3624,93510,438_bathroom.jpg,438_kitchen.jpg,438_bedroom.jpg,438_frontal.jpg,698777
2,3,2078,94501,178_bathroom.jpg,178_kitchen.jpg,178_bedroom.jpg,178_frontal.jpg,888000
2,3,960,91901,95_bathroom.jpg,95_kitchen.jpg,95_bedroom.jpg,95_frontal.jpg,65000
1.5,2,1120,94501,181_bathroom.jpg,181_kitchen.jpg,181_bedroom.jpg,181_frontal.jpg,435000
2,2,1056,92276,401_bathroom.jpg,401_kitchen.jpg,401_bedroom.jpg,401_frontal.jpg,68500
5,5,5677,85377,24_bathroom.jpg,24_kitchen.jpg,24_bedroom.jpg,24_frontal.jpg,1375000
3,4,2287,90265,262_bathroom.jpg,262_kitchen.jpg,262_bedroom.jpg,262_frontal.jpg,1695000
2,2,1640,92276,350_bathroom.jpg,350_kitchen.jpg,350_bedroom.jpg,350_frontal.jpg,104950
1.5,3,1214,92802,508_bathroom.jpg,508_kitchen.jpg,508_bedroom.jpg,508_frontal.jpg,424900
5,4,4581,85266,6_bathroom.jpg,6_kitchen.jpg,6_bedroom.jpg,6_frontal.jpg,1249000
2,4,1771,92021,117_bathroom.jpg,117_kitchen.jpg,117_bedroom.jpg,117_frontal.jpg,475000
3,3,2134,81524,46_bathroom.jpg,46_kitchen.jpg,46_bedroom.jpg,46_frontal.jpg,425000
